FA;MolWeight
1:0;60.054
2:0;74.081
3:0;88.108
4:0;102.135
5:0;116.162
6:0;130.189
6:0 iso;130.189
6:0 anteiso;130.189
7:0;144.216
8:0 iso;158.243
8:0 anteiso;158.243
8:0;158.243
9:0;172.27
10:0;186.297
10:0 2OH;202.294
11:0;200.324
12:0 iso;214.351
12:0 anteiso;214.351
12:0;214.351
13:0 iso;228.378
13:0 anteiso;228.378
13:0;228.378
14:0 iso;242.405
14:0 anteiso;242.405
14:0;242.405
14:1 w5c;240.405
14:1 w7c;240.405
14:1 w9c;240.405
15:0 iso;256.432
15:0 anteiso;256.432
15:0;256.432
15:1 w5c;254.432
15:1 w7c;254.432
15:1 w9c;254.432
15:1 w9c iso;254.432
15:1 w9c anteiso;254.432
15:0 2OH;286.414
16:0 iso;270.459
16:0 anteiso;270.459
16:0;270.459
16:0 10-methyl;284.484
16:1 w3c;268.459
16:1 w5c;268.459
16:1 w6c;268.459
16:1 w7c;268.459
16:1 w9c;268.459
16:1 w9c iso;268.459
16:1 w9c anteiso;268.459
16:1 w11c;268.459
16:2 w6c;266.459
16:3 w6c;264.459
16:3 w3c;264.459
17:0 iso;284.486
17:0 anteiso;284.486
17:0;284.486
17:0 cyclo w6c;282.468
17:0 cyclo w7c;282.468
17:0 cyclo w9c;282.468
17:1 iso w9c;282.468
17:1 iso w7c;282.468
17:1 anteiso w9c;282.468
17:1 w7c;282.468
17:1 w8c;282.468
17:1 w9c;282.468
17:1 w11c;282.468
18:0 iso;298.513
18:0 anteiso;298.513
18:0;298.513
18:1 w5c;296.513
18:1 w6c;296.513
18:1 w7c;296.513
18:1 w9c;296.513
18:1 w11c;296.513
18:2 w6c;294.513
18:3 w3c;292.513
18:3 w6c;292.513
18:4 w3c;290.513
19:0;312.538
19:0 cyclo w6c;310.54
19:0 cyclo w7c;310.54
19:0 cyclo w9c;310.54
19:1 w6c;310.54
20:0;326.567
20:0 cyclo w6c;324.567
20:0 cyclo w7c;324.567
20:0 cyclo w9c;324.567
20:1 w7c;324.567
20:1 w9c;324.567
20:1 w11c;324.567
20:2 w3c;322.567
20:2 w6c;322.567
20:3 w3c;320.567
20:3 w6c;320.567
20:4 w3c;318.567
20:4 w6c;318.567
20:5 w3c;316.567
21:0;340.592
22:0;354.621
22:1 w7c;352.621
22:1 w9c;352.621
22:2 w6c;350.621
22:4 w6c;346.621
23:0;368.648
24:0;382.675
